Date,price
2008-12-23,4405.85986328125
2008-12-24,4423.08984375
2008-12-25,4413.4501953125
2008-12-26,4425.080078125
2008-12-29,4416.16015625
2008-12-30,4589.0400390625
2008-12-31,4591.22021484375
2009-01-05,4698.31005859375
2009-01-06,4727.259765625
2009-01-07,4789.83984375
2009-01-08,4535.7900390625
2009-01-09,4502.740234375
2009-01-12,4453.89990234375
2009-01-13,4532.35986328125
2009-01-14,4521.47021484375
2009-01-15,4320.77001953125
2009-01-16,4353.7001953125
2009-01-19,4366.759765625
2009-01-20,4242.60986328125
2009-01-21,4247.97021484375
2009-02-02,4259.97998046875
2009-02-03,4372.81005859375
2009-02-04,4389.97021484375
2009-02-05,4363.25
2009-02-06,4471.25
2009-02-09,4494.58984375
2009-02-10,4526.10009765625
2009-02-11,4575.9501953125
2009-02-12,4466.419921875
2009-02-13,4592.5
2009-02-16,4591.259765625
2009-02-17,4491.77978515625
2009-02-18,4498.3701171875
2009-02-19,4528.8701171875
2009-02-20,4436.93994140625
2009-02-23,4477.77978515625
2009-02-24,4430.18017578125
2009-02-25,4493.740234375
2009-02-26,4518.56005859375
2009-02-27,4557.14990234375
2009-03-02,4425.830078125
2009-03-03,4435.33984375
2009-03-04,4541.419921875
2009-03-05,4637.2001953125
2009-03-06,4653.6298828125
2009-03-09,4628.240234375
2009-03-10,4671.02001953125
2009-03-11,4759.9599609375
2009-03-12,4754.64990234375
2009-03-13,4897.39013671875
2009-03-16,4971.31982421875
2009-03-17,5041.39013671875
2009-03-18,5047.5400390625
2009-03-19,5035.93017578125
2009-03-20,4961.6201171875
2009-03-23,5124.18017578125
2009-03-24,5242.18017578125
2009-03-25,5346.3798828125
2009-03-26,5386.56005859375
2009-03-27,5390.7001953125
2009-03-30,5206.0498046875
2009-03-31,5210.83984375
2009-04-02,5473.77978515625
2009-04-03,5529.6298828125
2009-04-06,5556.22021484375
2009-04-07,5576.85009765625
2009-04-08,5443.56005859375
2009-04-09,5667.7998046875
2009-04-10,5781.9599609375
2009-04-13,5857.64013671875
2009-04-14,5892.68017578125
2009-04-15,5875.18994140625
2009-04-16,5997.169921875
2009-04-17,5755.3798828125
2009-04-20,5781.66015625
2009-04-21,5881.41015625
2009-04-22,5886.10986328125
2009-04-23,5875.240234375
2009-04-24,5880.77001953125
2009-04-27,5705.0498046875
2009-04-28,5596.72998046875
2009-04-29,5614.06005859375
2009-04-30,5992.56982421875
2009-05-04,6330.39990234375
2009-05-05,6379.93994140625
2009-05-06,6566.7001953125
2009-05-07,6572.8701171875
2009-05-08,6583.8701171875
2009-05-11,6647.5
2009-05-12,6432.5498046875
2009-05-13,6485.14013671875
2009-05-14,6364.169921875
2009-05-15,6489.08984375
2009-05-18,6577.81005859375
2009-05-19,6655.58984375
2009-05-20,6703.6201171875
2009-05-21,6718.81005859375
2009-05-22,6737.2900390625
2009-05-25,6734.4599609375
2009-05-26,6683.10986328125
2009-05-27,6890.43994140625
2009-06-01,6954.10009765625
2009-06-02,6949.080078125
2009-06-03,6893.14013671875
2009-06-04,6786.06005859375
2009-06-05,6767.10009765625
2009-06-08,6628.02001953125
2009-06-09,6414.39013671875
2009-06-10,6462.27001953125
2009-06-11,6567.3701171875
2009-06-12,6448.22998046875
2009-06-15,6225.56005859375
